pre-processamento,classe/acuracia,acuracia media
Remoção de Ruído,"alicate-de-ferro/0.93, haste-borracha/0.88, chave-de-fenda/0.97, empunhadura-de-borracha/0.96, empunhadura-de-plastico/0.96, punho-de-madeira/0.98, punho-de-borracha/0.96, espatula-de-ferro/0.97, cabo de borracha/0.88, cabo de madeira/0.99, martelo de borracha/0.99, martelo de ferro/0.97, pa-de-ferro/0.99, bastao-de-madeira/0.93, bastao-de-ferro/0.28",0.46
Suavização Gaussiana,"alicate-de-ferro/0.93, haste-borracha/0.89, chave-de-fenda/0.97, empunhadura-de-borracha/0.96, empunhadura-de-plastico/0.95, espatula-de-ferro/0.97, punho-de-madeira/0.97, punho-de-borracha/0.96, cabo de madeira/0.99, martelo de borracha/0.98, cabo de borracha/0.86, martelo de ferro/0.97, pa-de-ferro/0.98, bastao-de-madeira/0.85",0.75
Suavização por Média,"pa-de-ferro/0.98, bastao-de-madeira/0.79, alicate-de-ferro/0.92, haste-borracha/0.90, chave-de-fenda/0.96, empunhadura-de-borracha/0.96, empunhadura-de-plastico/0.96, punho-de-madeira/0.97, espatula-de-ferro/0.96, punho-de-borracha/0.95, cabo de madeira/0.99, martelo de borracha/0.98, cabo de borracha/0.88, martelo de ferro/0.96",0.82
Suavização pela Mediana,"pa-de-ferro/0.85, alicate-de-ferro/0.93, haste-borracha/0.88, chave-de-fenda/0.97, empunhadura-de-borracha/0.97, empunhadura-de-plastico/0.94, espatula-de-ferro/0.97, punho-de-madeira/0.98, punho-de-borracha/0.96, cabo de madeira/0.99, martelo de borracha/0.99, cabo de borracha/0.88, martelo de ferro/0.97",0.90
Suavização com Filtro Bilateral,"alicate-de-ferro/0.93, haste-borracha/0.88, chave-de-fenda/0.97, empunhadura-de-borracha/0.96, empunhadura-de-plastico/0.94, espatula-de-ferro/0.97, punho-de-madeira/0.98, punho-de-borracha/0.96, martelo de borracha/0.99, cabo de madeira/0.99, martelo de ferro/0.97, cabo de borracha/0.88, pa-de-ferro/0.99, bastao-de-madeira/0.86",0.91
Equalização de Histograma CLAHE,"alicate-de-ferro/0.92, haste-borracha/0.88, chave-de-fenda/0.97, empunhadura-de-borracha/0.95, empunhadura-de-plastico/0.93, espatula-de-ferro/0.98, punho-de-madeira/0.97, punho-de-borracha/0.97, cabo de madeira/0.99, martelo de borracha/0.98, cabo de borracha/0.86, martelo de ferro/0.97, pa-de-ferro/0.99, bastao-de-madeira/0.90",0.88
Equalização de Histograma,"alicate-de-ferro/0.95, haste-borracha/0.94, cabo de borracha/0.74, martelo de ferro/0.97, chave-de-fenda/0.93, empunhadura-de-plastico/0.91, espatula-de-ferro/0.97, punho-de-madeira/0.96, punho-de-borracha/0.94, martelo de borracha/0.97, cabo de madeira/0.97, pa-de-ferro/0.98, bastao-de-madeira/0.90",0.85
